Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,spindex_close_adjusted,spindex_volume_adjusted
2018-06-12,2785.600098,2789.800049,2778.780029,2786.850098,3401010000,0,0,1.300559903,0.126039935
2018-06-13,2787.939941,2791.469971,2774.649902,2775.629883,3779230000,0,0,1.286628924,0.37527754
2018-06-14,2783.209961,2789.060059,2776.52002,2782.48999,3526890000,0,0,1.295146408,0.208991735
2018-06-15,2777.780029,2782.810059,2761.72998,2779.659912,5428790000,0,0,1.291632594,1.462296693
2018-06-18,2765.790039,2774.98999,2757.120117,2773.75,3287150000,0,0,1.284294869,0.051009018
2018-06-19,2752.01001,2765.050049,2743.189941,2762.590088,3661470000,0,0,1.270438762,0.297676619
2018-06-20,2769.72998,2774.860107,2763.909912,2767.320068,3327600000,0,0,1.276311488,0.077664565
2018-06-21,2769.280029,2769.280029,2744.389893,2749.76001,3300060000,0,0,1.254508984,0.059516388
2018-06-22,2760.790039,2764.169922,2752.679932,2754.879883,5450550000,0,0,1.2608658,1.476635993
2018-06-25,2742.939941,2742.939941,2698.669922,2717.070068,3655080000,0,0,1.213921271,0.293465768
2018-06-26,2722.120117,2732.909912,2715.600098,2723.060059,3555090000,0,0,1.221358422,0.227574836
2018-06-27,2728.449951,2746.090088,2699.379883,2699.629883,3776090000,0,0,1.1922676,0.373208358
2018-06-28,2698.689941,2724.340088,2691.98999,2716.310059,3428140000,0,0,1.212977646,0.143917933
2018-06-29,2727.129883,2743.26001,2718.030029,2718.370117,3565620000,0,0,1.215535407,0.234513845
2018-07-02,2704.949951,2727.26001,2698.949951,2726.709961,3073650000,0,0,1.225890127,-0.08968219
2018-07-03,2733.27002,2736.580078,2711.159912,2713.219971,1911470000,0,0,1.209141004,-0.855530003
2018-07-05,2724.189941,2737.830078,2716.02002,2736.610107,2953420000,0,0,1.238182112,-0.16891078
2018-07-06,2737.679932,2764.409912,2733.52002,2759.820068,2554780000,0,0,1.266999516,-0.431604659
2018-07-09,2775.620117,2784.649902,2770.72998,2784.169922,3050040000,0,0,1.297232206,-0.105240595
2018-07-10,2788.560059,2795.580078,2786.23999,2793.840088,3063850000,0,0,1.309238649,-0.096140148
2018-07-11,2779.820068,2785.909912,2770.77002,2774.02002,2964740000,0,0,1.284630124,-0.161451181
2018-07-12,2783.139893,2799.219971,2781.530029,2798.290039,2821690000,0,0,1.314763692,-0.255717585
2018-07-13,2796.929932,2804.530029,2791.689941,2801.310059,2614000000,0,0,1.318513338,-0.392580147
2018-07-16,2797.360107,2801.189941,2793.389893,2798.429932,2812230000,0,0,1.314937383,-0.261951491
2018-07-17,2789.340088,2814.189941,2789.23999,2809.550049,3050730000,0,0,1.328744079,-0.104785902
2018-07-18,2811.350098,2816.76001,2805.889893,2815.620117,3089780000,0,0,1.336280654,-0.07905292
2018-07-19,2809.370117,2812.050049,2799.77002,2804.48999,3266700000,0,0,1.322461529,0.037532974
2018-07-20,2804.550049,2809.699951,2800.01001,2801.830078,3230210000,0,0,1.319158991,0.013486969
2018-07-23,2799.169922,2808.610107,2795.139893,2806.97998,2907430000,0,0,1.325553091,-0.19921705
